Economic Sector,Status,Zipcode,Company,Job Title,Origin Country,Pay
Hospitality,Denied,10004,MINOR BIRD INC.,Cooks; Restaurant,MEXICO,none
Finance,Accepted,10020,MOORE CAPITAL MANAGEMENT; LP,Sales Agents; Securities and Commodities,IRELAND,124155
Other Economic Sector,Denied,11103,LIDIA MANAGEMENT CORP.,Maintenance and Repair Workers; General,MEXICO,none
Other Economic Sector,Accepted,10038,HAMILTON-MADISON HOUSE,Mental Health and Substance Abuse Social Workers,MALAYSIA,none
Hospitality,Denied,11373,XIOTIS REST. CORP.,Cooks; Restaurant,ECUADOR,none
Hospitality,Denied,11234,MILO BEAR; INC.,Cooks; Restaurant,MEXICO,none
Advanced Mfg,Denied,10021,TASTY WHOLESALE BAGELS INC.,Bakers,ECUADOR,none
Other Economic Sector,Accepted,11223,ELITE GROUP INTERNATIONAL MARKETING AND TRADING IN,Wholesale and Retail Buyers; Except Farm Products,TURKEY,none
Hospitality,Denied,10027,NERASIA; INC. D/B/A  SLICED BUN,Chefs and Head Cooks,POLAND,none
Finance,Accepted,10020,THE BANK OF TOKYO-MITSUBISHI UFJ; LTD.,Computer Software Engineers; Applications,INDIA,none
Finance,Denied,10004,GOLDMAN; SACHS & CO.,Operations Research Analysts,INDIA,none
Other Economic Sector,Accepted,10018,REDAC; INC.,Market Research Analysts,JAPAN,42182
Construction,Accepted,10013,OVE ARUP & PARTNERS CONSULTING ENGINEERS PC,Civil Engineers,SOUTH KOREA,80454
Other Economic Sector,Accepted,10005,CPA2BIZ; INC,Computer Systems Analysts,INDIA,64709
Construction,Accepted,10024,JOHN SCHREIBER JA-DAR REALTY AND REMODELING INC.,Cabinetmakers and Bench Carpenters,MEXICO,none
Other Economic Sector,Accepted,10001,CORNERSTONE ARCHITECTS,Civil Engineers,COLOMBIA,none
Finance,Accepted,10154,WAFRA INVESTMENT ADVISORY GROUP; INC.,Financial Analysts,KUWAIT,82014
Finance,Accepted,10005,NYSE TECHNOLOGIES; INC,Computer Software Engineers; Applications,INDIA,77522
Advanced Mfg,Accepted,10018,LEEWARD INTERNATIONAL,Accountants,SOUTH KOREA,none
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer and Information Systems Managers,CHINA,97240
Finance,Accepted,10158,NEUBERGER BERMAN GROUP LLC,Financial Analysts,PORTUGAL,82000
Hospitality,Accepted,10019,JTB USA; INC.,Travel Agents,JAPAN,none
Finance,Accepted,10004,GOLDMAN; SACHS & CO.,Financial Analysts,FRANCE,none
Other Economic Sector,Accepted,10020,SIRIUS XM RADIO; INC,Computer Software Engineers; Applications,INDIA,none
Finance,Accepted,10017,ROSEN SEYMOUR SHAPSS MARTIN & CO.LLP,Accountants and Auditors,INDIA,none
Advanced Mfg,Denied,11101,ELENIS NYC; INC.,Order Clerks,MEXICO,none
Retail,Accepted,11224,L.B.J. JEANS CORP.,Tailors; Dressmakers; and Custom Sewers,MEXICO,none
Not Available,Denied,10016,WORLDEVOLVED SERVICES; LLC,Computer Programmers,CHINA,none
Construction,Accepted,11222,JANBAR INC,Stonemasons,POLAND,none
Retail,Accepted,10001,COACH INC.,Lawyers,IRELAND,none
Retail,Accepted,10018,MUJI U.S.A. LIMITED,Accountants and Auditors,JAPAN,none
Advanced Mfg,Accepted,10018,HI-FASHION GROUP LLC,Purchasing Managers,TAIWAN,52700
Other Economic Sector,Accepted,10017,INSTITUTE OF INTERNATIONAL EDUCATION; INC.,Accountants and Auditors,PAKISTAN,none
Transportation,Denied,11435,BAYA INC.,Inspectors; Testers; Sorters; Samplers; and Weighers,COLOMBIA,none
Other Economic Sector,Denied,11354,40 46 MAIN STREET REALTY CORP.,Maintenance and Repair Workers; General,MEXICO,none
Health Care,Denied,10312,BILLY N. GERIS; M.D.; MEDICAL CLINIC,Accountants and Auditors,MEXICO,none
Advanced Mfg,Denied,11234,PREZIOSO BROS BAKERY,Bakers,ECUADOR,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Financial Managers,UNITED KINGDOM,148033.6
Hospitality,Denied,10019,MV 1414 FOOD; LLC DBA/PIZZA VILLAGIO CAFE,Cooks; Fast Food,MEXICO,none
Not Available,Accepted,11368,CONDOR RECORDS,Retail Salespersons,ECUADOR,none
Other Economic Sector,Denied,10022,BLOOMBERG L.P.,Computer and Information Systems Managers,INDIA,121493
Other Economic Sector,Denied,10036,W 59 OPERATING; LLC,Parking Lot Attendants,BRAZIL,none
Hospitality,Denied,10019,NS WEST 56TH STREET; LLC D/B/A BEACON RESTAURANT,Butchers and Meat Cutters,ECUADOR,none
Advanced Mfg,Denied,11206,QUALITY STRAPPING; INC.,Extruding and Drawing Machine Setters; Operators; and Tenders; Metal and Plastic,MEXICO,none
Construction,Denied,11222,POLTEAM RENOVATION; CORP.,Painters; Construction and Maintenance,POLAND,none
Other Economic Sector,Accepted,10001,MERIDIAN DESIGN ASSOCIATES ARCHITECTS; PC,Architectural Drafters,SOUTH KOREA,none
Other Economic Sector,Accepted,10018,DUCSON IMPORTS; INC.,Executive Secretaries and Administrative Assistants,SOUTH KOREA,60133
Other Economic Sector,Accepted,10002,LOWER EAST SIDE FAMILY UNION,Child; Family; and School Social Workers,HONG KONG,none
Hospitality,Accepted,10007,VESDEL FOOD; INC,Cooks; Restaurant,MEXICO,none
Other Economic Sector,Denied,11221,NASARY MANAGEMENT CORP.,Managers; All Other,PAKISTAN,none
Other Economic Sector,Denied,10028,FRANCESCAS SANTORELLI,Nannies,MEXICO,25563
Other Economic Sector,Accepted,10023,AMERICAN BROADCASTING COMPANIES; INC.,Computer Software Engineers; Applications,CHINA,76835
Hospitality,Withdrawn,11361,DONOVANS OF BAYSIDE; LLC,Cooks; Restaurant,ECUADOR,none
Hospitality,Denied,10022,GIANNNI MARIELLA LTD,Cooks; Restaurant,MEXICO,none
Finance,Accepted,10001,CONSULTAX; INC.,Accountants and Auditors,CANADA,none
Hospitality,Accepted,10017,WORLD JOINT CORP. D/B/A IACE TRAVEL; INC.,Market Research Analysts,JAPAN,51251.2
Hospitality,Accepted,10014,JOHNS OF BLEECKER STREET,Bakers,MEXICO,none
Retail,Accepted,10016,GALLERIA FIFTH AVENUE INC.,Bookkeeping; Accounting; and Auditing Clerks,SOUTH KOREA,39785.4
Other Economic Sector,Denied,11217,GEORGE PACKER,Nannies,TRINIDAD AND TOBAGO,25563
Finance,Accepted,10022,ODEON CAPITAL GROUP LLC,Financial Analysts,INDIA,136989
Educational Services,Accepted,10019,JOHN JAY COLLEGE OF CRIMINAL JUSTICE,Mathematical Science Teachers; Postsecondary,TRINIDAD AND TOBAGO,49740
Health Care,Accepted,11358,NOTHERN URGENT MEDICAL CARE; PLLC,File Clerks,SOUTH KOREA,27851
Finance,Accepted,10282,GOLDMAN;SACHS & CO.,Financial Analysts,LEBANON,86965
Construction,Denied,11105,IONIC CONTRACTION; CORP,Plasterers and Stucco Masons,ECUADOR,44720
Other Economic Sector,Accepted,10018,HWI INTERNATIONAL; INC.,Chemical Engineers,SOUTH KOREA,109595.2
Retail,Denied,10016,ROCHE BOBOIS; USA LTD,General and Operations Managers,FRANCE,187491
Finance,Denied,10282,GOLDMAN; SACHS & CO.,Financial Analysts,SOUTH KOREA,136989
Other Economic Sector,Denied,10017,YERUSHALMI BROTHERS DIAMONDS USA INC.,Sales Managers,ISRAEL,116438
Advanced Mfg,Denied,11378,TATCO INSTALLATIONS; INC.,Cabinetmakers and Bench Carpenters,TRINIDAD AND TOBAGO,31325
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,84885
Other Economic Sector,Denied,11101,B.C.S. INTERNATIONAL CORPORATION,Computer Operators,SOUTH KOREA,46238
Hospitality,Denied,10022,636 LEXINGTON AVENUE RESTAURANT CORP.,Food Service Managers,SERBIA AND MONTENEGRO,62525
Other Economic Sector,Accepted,10001,PUBLICIS; INC.,Art Directors,AUSTRALIA,124946
Retail,Denied,11354,FLUSHING MARKET INC.,Management Analysts,CHINA,57782
IT,Accepted,10018,ST CONSULTING INTERNATIONAL INC,Computer Software Engineers; Applications,PAKISTAN,84885
Other Economic Sector,Accepted,10003,THE PROMOTION FACTORY INC,Public Relations Specialists,ITALY,54018
Construction,Denied,10010,MANHATTAN CARPET CO.,Carpet Installers,ECUADOR,55307
Other Economic Sector,Accepted,10065,GAETANA ENDERS,Cooks; Private Household,MEXICO,26686
Transportation,Accepted,10018,MEDITERRANEAN SHIPPING COMPANY (USA) INC.,Logisticians,ITALY,none
Retail,Accepted,11222,GREENPOINT WINE & LIQUORS INC.,Retail Salespersons,POLAND,32011
Educational Services,Accepted,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Secondary School Teachers; Except Special and Vocational Education,PHILIPPINES,45530
IT,Accepted,10018,SARA COMPUTERS INC.,Network and Computer Systems Administrators,SOUTH KOREA,99299
Health Care,Accepted,10038,YON H. LAI; D.D.S.; P.C.,Orthodontists,THAILAND,95576
Hospitality,Accepted,10038,RED,Food Service Managers,MALI,62525
Other Economic Sector,Denied,10314,JEWISH COMMUNITY CENTER OF S.I.,Janitors and Cleaners; Except Maids and Housekeeping Cleaners,MEXICO,34840
Not Available,Withdrawn,10001,CONNECTIONS PERSONNEL OF NEW YORK; INC.,Personnel Recruiters,ITALY,39520
IT,Accepted,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Systems Software,INDIA,68370
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,HONDURAS,136989
Educational Services,Accepted,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Secondary School Teachers; Except Special and Vocational Education,JAMAICA,45530
Finance,Accepted,10019,HORIKO CAPITAL MANAGEMENT LLC,Market Research Analysts,JAPAN,58282
Construction,Denied,10309,SCENIC WINDOW AND WALL SYSTEM INSTALLERS INC,Maintenance and Repair Workers; General,MEXICO,40581
IT,Accepted,10018,CINTRA SOFTWARE & SERVICES,Computer Software Engineers; Applications,BRAZIL,95555
IT,Accepted,10018,CINTRA SOFTWARE & SERVICES,Computer Software Engineers; Applications,BRAZIL,95555.2
Not Available,Accepted,10036,THOMSON REUTERS MARKETS LLC,Computer Systems Analysts,INDONESIA,103834
Educational Services,Accepted,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Secondary School Teachers; Except Special and Vocational Education,GRENADA,45530
Not Available,Accepted,11215,BROOKLYN PITA IN PARK SLOPE INC.,Cooks; Restaurant,MEXICO,none
Other Economic Sector,Accepted,10012,SEI-TOMOKO INC.,First-Line Supervisors/Managers of Personal Service Workers,JAPAN,54288
Other Economic Sector,Denied,11103,ACTION BUILDING MAINTENANCE & CLEANING NY; INC,First-Line Supervisors/Managers of Housekeeping and Janitorial Workers,BRAZIL,48506
Advanced Mfg,Denied,10036,H.K.DESIGNS INC,Market Research Analysts,INDIA,58282
IT,Accepted,10005,EBUSINESSWARE; INC.,Computer Software Engineers; Applications,INDIA,68661
Other Economic Sector,Accepted,10036,BELGIUM DIAMOND INC,Gem and Diamond Workers,INDIA,none
Other Economic Sector,Accepted,11358,M-DIS DESIGN GROUP,Executive Secretaries and Administrative Assistants,SOUTH KOREA,63211
Retail,Accepted,10012,FITH USA; INC.,Market Research Analysts,JAPAN,38064
Other Economic Sector,Accepted,10001,GLORIA APPAREL INC,Cost Estimators,SOUTH KOREA,57678
Educational Services,Accepted,10011,THE NEW SCHOOL,History Teachers; Postsecondary,CANADA,71807
Other Economic Sector,Accepted,11101,NEW YORK CHEESE CORP,File Clerks,SOUTH KOREA,35339
Construction,Denied,10016,WEST LEGEND CORP.,Market Research Analysts,CHINA,43784
Other Economic Sector,Accepted,10001,YAI/NATIONAL INSTITUTE FOR PEOPLE WITHDISABILITIES,Social and Community Service Managers,UNITED KINGDOM,54746
Other Economic Sector,Accepted,10036,HARKESS-ORD LLC,Marketing Managers,CHILE,88026
Finance,Denied,10282,GOLDMAN; SACHS & CO.,Financial Analysts,CHINA,86965
Finance,Accepted,10018,HSBC SECURITIES (USA) INC.,Financial Analysts,UNITED KINGDOM,111966
Aerospace,Denied,10005,HAKS,Civil Engineers,IRAN,59904
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,INDIA,85592
Finance,Withdrawn,10022,JEFFERIES & COMPANY,Chief Executives,CANADA,166400
Health Care,Denied,11354,BAYSIDE PAIN & REHABILITATION MEDICINE ; P.C.,Physical Therapist Aides,SINGAPORE,none
Retail,Denied,10033,H & J PHARMACEUTICAL INC,Pharmacists,INDIA,89440
Other Economic Sector,Accepted,11358,HYO SHIN BIBLE PRESBYTERIAN CHURCH OF NEW YORK,Clergy,SOUTH KOREA,38272
Educational Services,Accepted,10036,RESEARCH FOUNDATION OF  CUNY,Political Scientists,BRAZIL,74048
Other Economic Sector,Accepted,11101,DC GROUP; INC.; D.B.A. UNIQUESETTINGS OF NEW YORK,Jewelers and Precious Stone and Metal Workers,ECUADOR,41454
Finance,Accepted,10105,ALLIANCEBERNSTEIN L.P.,Financial Analysts,UNITED KINGDOM,139505.6
Other Economic Sector,Accepted,10018,FASHION RESOURCES CORPORATION,Market Research Analysts,INDIA,43784
Finance,Accepted,10019,PREMIUM POINT INVESTMENTS; LLC,Financial Analysts,ALBANIA,61942
Other Economic Sector,Accepted,10017,DAVIS POLK & WARDWELL,Lawyers,ISRAEL,87568
Advanced Mfg,Denied,11228,GRANDMAS BAKED GOODS INC.,Chefs and Head Cooks,MEXICO,80933
Other Economic Sector,Denied,10012,KIKKERLAND DESIGN INC.,Commercial and Industrial Designers,SOUTH KOREA,53914
Advanced Mfg,Accepted,10016,CHARLES KOMAR & SONS; INC.,General and Operations Managers,TURKEY,195000
Other Economic Sector,Accepted,10023,SANDRA AND HOWARD HOFFEN,Nannies,PHILIPPINES,25563
Finance,Accepted,10282,GOLDMAN SACHS; & CO.,Financial Analysts,ITALY,136989
IT,Denied,11375,AMICUS SYSTEMS; INC,Computer Software Engineers; Applications,INDIA,84885
Other Economic Sector,Accepted,10004,HUGHES HUBBARD & REED LLP,Lawyers,CANADA,87568
Retail,Accepted,10037,LENOX TERRACE PHARMACY,Pharmacists,INDIA,104478
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,IRELAND,136989
Other Economic Sector,Accepted,10036,ZAMAN LTD.,Editors,TURKEY,72051
Advanced Mfg,Accepted,11354,APOLLO BAKERY INC.,Bakers; Bread and Pastry,TAIWAN,27893
Hospitality,Accepted,10024,LENNYS ORIGINAL LLC,Food Service Managers,SOUTH KOREA,62525
Finance,Denied,10022,SUTTONPARK CAPITAL,Financial Managers,CANADA,103730
Other Economic Sector,Accepted,10036,CORE JEWELRY INC.,Operations Research Analysts,SOUTH KOREA,80059
Educational Services,Accepted,10004,WORLD EDUCATION SERVICES,Education; Training; and Library Workers; All Other,INDIA,40102
Finance,Accepted,10012,TWO SIGMA INVESTMENTS; LLC,Statisticians,CANADA,57054
IT,Denied,11421,SV IT INC,Computer Software Engineers; Applications,INDIA,84885
IT,Accepted,11375,AMICUS SYSTEMS; INC,Computer Software Engineers; Applications,INDIA,68661
IT,Denied,10004,SPEECHCYCLE,Network and Computer Systems Administrators,INDIA,59426
IT,Accepted,11375,AMICUS SYSTEMS; INC,Computer Software Engineers; Applications,NEPAL,68661
IT,Denied,11375,AMICUS SYSTEMS; INC,Computer Software Engineers; Applications,INDIA,68661
Hospitality,Denied,10022,ANJDEV ENTERPRISES INC,Food Service Managers,INDIA,62525
Finance,Accepted,10036,MORGAN STANLEY & CO. INC.,Computer and Information Systems Managers,PAKISTAN,115000
Hospitality,Accepted,10003,EDIBLE KITCHENS; INC.,Cooks; Short Order,SOUTH KOREA,30888
Finance,Accepted,10022,NATIONAL BANK OF CANADA FINANCIAL INC.,Financial Analysts,CANADA,136989
Finance,Accepted,10019,TPG-AXON MANAGEMENT LP,Financial Analysts,RUSSIA,61942
Other Economic Sector,Denied,10036,FOREVER CREATION INC.,Accountants,INDIA,54662
Advanced Mfg,Denied,10001,LADONA; LLC,Fabric and Apparel Patternmakers,SOUTH KOREA,none
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants,COLOMBIA,104562
Other Economic Sector,Denied,10019,790 FRENCH LLC,Cooks; Restaurant,ECUADOR,29869
IT,Denied,10016,MPHASIS CORPORATION,Computer Software Engineers; Applications,INDIA,84885
Finance,Accepted,10282,GOLDMAN SACHS & CO.,Financial Analysts,FRANCE,136989
Other Economic Sector,Accepted,11359,THE GANG SUNG PRESBYTERIAN CHURCH OF NEW YORK,Clergy,SOUTH KOREA,38272
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Operations Research Analysts,CHINA,57054
Advanced Mfg,Accepted,10017,PFIZER INC,Veterinarians,COLOMBIA,43514
Advanced Mfg,Accepted,10013,GURHAN NEW YORK; INC,Jewelers,TURKEY,41454
Other Economic Sector,Accepted,10003,DROGA5; LLC,Art Directors,AUSTRALIA,157393.6
Other Economic Sector,Accepted,11418,COMMUNITY BIBLE EVANGELICAL FREE CHURCH,Religious Workers; All Other,GUYANA,23691
Hospitality,Accepted,11356,FIORENZO GULLA DBA PIZZA TOWN,Cooks; Restaurant,MEXICO,25480
Hospitality,Accepted,10014,PASTICCERIA ROCCO,Waiters and Waitresses,MEXICO,33530
Hospitality,Denied,11226,TRINI BREAKFAST SHED 11; INC.,Cooks; Restaurant,TRINIDAD AND TOBAGO,34237
Other Economic Sector,Accepted,11354,MENSCH MILL & LUMBER CORP,Cabinetmakers and Bench Carpenters,ECUADOR,33571
Hospitality,Denied,11216,1422 FULTON ST.; ENT DBA POPEYES,Food Service Managers,SENEGAL,62525
Retail,Accepted,10028,82 CORNER MARKET; INC.,Procurement Clerks,SOUTH KOREA,37274
Finance,Accepted,10022,TREPP; LLC,Computer Systems Analysts,INDIA,103834
Hospitality,Accepted,10016,T&T 130 PIZZA CORP. D/B/A BELLA NAPOLI,Cooks; Restaurant,MEXICO,23379
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Budget Analysts,NIGERIA,79414
Hospitality,Denied,10022,LITTLE THAI KITCHEN III; INC.,Cooks; Restaurant,LAOS,34237
IT,Accepted,10006,P&C INSURANCE SYSTEMS; INC,Computer Systems Analysts,INDIA,59613
Other Economic Sector,Denied,11377,CODY PRINTING CORP.,Executive Secretaries and Administrative Assistants,SOUTH KOREA,none
IT,Accepted,10001,RISKVAL FINANCIAL SOLUTIONS LLC,Computer Software Engineers; Applications,UNITED STATES OF AMERICA,84885
Other Economic Sector,Accepted,10001,PEACOCK APPAREL GROUP; INC,Production; Planning; and Expediting Clerks,SOUTH KOREA,55120
Advanced Mfg,Denied,11202,ENVIREX PEST CONTROL & PROTECTION INC.,Pest Control Workers,ST VINCENT,30930
Hospitality,Accepted,11101,UNIWORLD TOURS; INC.,Automotive Master Mechanics,SOUTH KOREA,39083
Other Economic Sector,Accepted,11377,GIANT BIG APPLE BEER LTD.,First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators,SOUTH KOREA,67808
Other Economic Sector,Accepted,11354,MIL AL MISSION IN NY; INC.,Clergy,SOUTH KOREA,38272
Automotive,Accepted,11101,MAJOR CHEVROLET;INC,First-Line Supervisors/Managers of Production and Operating Workers,ECUADOR,60965
Other Economic Sector,Denied,10017,EXLSERVICE.COM; INC.,Management Analysts,ROMANIA,120370
Other Economic Sector,Accepted,10017,INTERNATIONAL TRADEMARK ASSOCIATION,Computer Software Engineers; Applications,CANADA,117312
Other Economic Sector,Accepted,11211,LUCKY SUPPLY INC.,First-Line Supervisors/Managers of Helpers; Laborers; and Material Movers; Hand,SOUTH KOREA,49525
Finance,Accepted,10065,LEK SECURITIES CORPORATION,Janitors and Cleaners; Except Maids and Housekeeping Cleaners,PHILIPPINES,34840
Construction,Denied,11105,IONIC CONSTRUCTION CORP.,Plasterers and Stucco Masons,ECUADOR,67642
IT,Accepted,10004,AMTEX SYSTEMS; INC.,Database Administrators,INDIA,54662
Finance,Accepted,10036,MORGAN STANLEY & CO. INC.,Financial Analysts,CHINA,84500
Advanced Mfg,Accepted,10017,J.W.BLUE GROUP,Jewelers,UNITED KINGDOM,41454
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,FRANCE,136989
Finance,Accepted,10001,INDUSTRIAL BANK OF KOREA NEW YORK BRANCH,Loan Officers,SOUTH KOREA,67475
Other Economic Sector,Denied,10304,SHIRLEY P. GRANADA,Maids and Housekeeping Cleaners,PHILIPPINES,38085
Other Economic Sector,Accepted,11366,NEW YORK JOO-SHINE CHURCH OF THE PRESBYTERIAN,Religious Workers; All Other,SOUTH KOREA,29806
Other Economic Sector,Accepted,10038,NYSARC; INC.;NYC CHAPTER,Social and Community Service Managers,UNITED KINGDOM,44970
IT,Accepted,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer Software Engineers; Applications,INDIA,81827
Finance,Withdrawn,10022,MIZUHO SECURITIES USA INC.,Sales Managers,JAPAN,198203
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,COLOMBIA,111966
Hospitality,Accepted,10016,495 J.J.K. CORPORATION D.B.A. ETHOS,Cooks; Restaurant,MEXICO,34237
Other Economic Sector,Denied,10007,DANOIS ARCHITECTS; P.C.,Architectural Drafters,DOMINICAN REPUBLIC,47133
Other Economic Sector,Accepted,10017,EXLSERVICE.COM; INC.,Operations Research Analysts,RUSSIA,57054
IT,Accepted,10016,VITECH SYSTEMS GROUP,Computer Software Engineers; Applications,INDIA,95326
Advanced Mfg,Accepted,10153,THE ESTEE LAUDER COMPANIES INC.,Database Administrators,INDIA,104083
Not Available,Accepted,10003,PORTFOLIO MEDIA; INC.,Reporters and Correspondents,AUSTRALIA,84781
Finance,Accepted,10001,WOORI AMERICA BANK,Loan Officers,SOUTH KOREA,67475
Hospitality,Accepted,10018,BONCHON U.S.A. INC.,Dietitians and Nutritionists,SOUTH KOREA,51314
Other Economic Sector,Accepted,10010,MCKAY ARCHITECT DESIGN,Architects; Except Landscape and Naval,GERMANY,70054
Other Economic Sector,Accepted,10022,BLOOMBERG L.P.,Computer Software Engineers; Systems Software,CHINA,85592
Retail,Accepted,10003,THE ORCHARD ENTERPRISES; INC.,Computer Software Engineers; Applications,INDIA,84885
Hospitality,Accepted,10003,BBHO INC.,Chefs and Head Cooks,SOUTH KOREA,80933
Finance,Accepted,11375,DWARKA KALANTRY; CPA,Accountants,INDIA,54662
Transportation,Accepted,11232,NANCY TRANSIT,Automotive Master Mechanics,ECUADOR,39083
Hospitality,Accepted,10016,315 FIFTH AVE. INC. D/B/A THIRD FLOOR CAFE,Chefs and Head Cooks,SOUTH KOREA,80933
Finance,Accepted,10019,CREDIT AGRICOLE AMERICA SERVICES; INC.,Financial Examiners,FRANCE,122970
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Software Engineers; Applications,INDIA,84885
Construction,Accepted,10028,PELHAM CONSTRUCTION CORPORATION,Stonemasons,ECUADOR,50710
Other Economic Sector,Accepted,10006,CLEARY GOTTLIEB STEEN & HAMILTON LLP,Lawyers,ITALY,87568
Construction,Withdrawn,11218,WHOLESALE BUILDING SUPPLY CORP.,Construction and Related Workers; All Other,CANADA,45011
Retail,Accepted,10003,BERND GOECKLER ANTIQUES; INC.,Wholesale and Retail Buyers; Except Farm Products,GERMANY,90106
Other Economic Sector,Accepted,10011,EURO RSCG HEALTHVIEW INC.,Copy Writers,UNITED KINGDOM,87027
Finance,Accepted,10282,GOLDMAN; SACHS & CO.,Financial Analysts,INDIA,136989
Finance,Accepted,10010,NEW YORK LIFE INVESTMENT MANAGEMENT LLC,Computer Software Engineers; Applications,INDIA,117707
Finance,Accepted,10281,NOMURA SECURITIES INTERNATIONAL; INC.,Sales Agents; Securities and Commodities,CANADA,120266
Finance,Accepted,10019,BARCLAYS CAPITAL SERVICES INC.,Computer Software Engineers; Applications,INDIA,117312
Hospitality,Accepted,10036,L & J BRAZIL RESTAURANT,Hosts and Hostesses; Restaurant; Lounge; and Coffee Shop,BRAZIL,29765
Health Care,Accepted,10016,FUNCTIONAL LIFE ACHIEVEMENT; INC.,Clinical; Counseling; and School Psychologists,CHINA,67912
Finance,Withdrawn,10020,SG AMERICAS SECURITIES; LLC,Computer Systems Analysts,INDIA,103834
Other Economic Sector,Accepted,10023,CONGREGATION KHAL TIFERETH YISRAEL INC,Instructional Coordinators,ISRAEL,61797
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants,INDIA,102128
Finance,Denied,10282,GOLDMAN SACHS & CO.,Financial Analysts,INDIA,136989
IT,Denied,11355,SRIVEN INFOSYS INC,Computer Software Engineers; Applications,INDIA,84885
IT,Withdrawn,10018,BAHA INDUSTRIES CORP. DBA OPEN SYSTEMS TECHNOLOGIES,Computer and Information Systems Managers,INDIA,123573
Other Economic Sector,Accepted,11370,DONHAUSER LAND SERVICES; INC.,First-Line Supervisors and Manager/Supervisors - Landscaping Workers,ECUADOR,53810
Finance,Withdrawn,10282,GOLDMAN; SACHS & CO.,Accountants and Auditors,INDIA,104562
Other Economic Sector,Accepted,10017,PRICEWATERHOUSECOOPERS,Accountants,INDIA,102128
Finance,Accepted,10020,HEDGESERV CORPORATION,Computer Software Engineers; Applications,INDIA,117707.2
Other Economic Sector,Accepted,10001,FIESTA COLLECTION INC,Commercial and Industrial Designers,SOUTH KOREA,none
Retail,Accepted,11368,REVO FOOD CORP.,First-Line Supervisors/Managers of Retail Sales Workers,GUATEMALA,56930
Finance,Accepted,10036,BMO CAPITAL MARKETS CORP.,Financial Analysts,CANADA,47923
